Z	Integral
693646	1261880
6630	435968500
72541	257417600
209100	87559940
416150	16514850
693646	1266915
6630	436873300
72541	258209700
209100	87838590
416150	16631940
693646	1260178
6630	437158800
72541	259450000
209100	87905020
416150	16745220
693646	1346658
6630	437626600
72541	259993900
209100	87949940
416150	16575730
693646	1198800
6630	437959700
72541	259943500
209100	88280900
416150	16523980
693646	1332254
6630	439132500
72541	260691300
209100	88071460
416150	16634220
693646	1131948
6630	441788200
72541	260766900
209100	88023450
416150	16824630
693646	1176188
6630	440446600
72541	261254700
209100	88022300
416150	16503230
693646	1186718
6630	440809400
72541	259759000
209100	87866650
416150	16587320
693646	1110288
6630	440201800
72541	260824900
209100	88607540
416150	16438770
693646	1120742
6630	439986200
72541	261091800
209100	88299080
416150	16548550
693646	1096780
6630	439628000
72541	260012800
209100	88234210
416150	16313670
693646	1118911
6630	439001200
72541	260748000
209100	88214960
416150	16475720
693646	981623
6630	438594500
72541	261395900
209100	88059600
416150	16350930
693646	868344
6630	439397900
72541	260215600
209100	88280780
416150	16312720
693646	899188
6630	440514300
72541	260890100
209100	88807230
416150	16450940
693646	935875
6630	439434900
72541	261398900
209100	88257340
416150	16574180
693646	739075
6630	439494300
72541	260947600
209100	88522950
416150	16404830
693646	912852
6630	438452100
72541	261748800
209100	88749470
416150	16462100
693646	895189
6630	439404100
72541	260752400
209100	88486140
416150	16473360
693646	864572
6630	438276600
72541	260588600
209100	88618750
416150	16335500
693646	933911
6630	436846800
72541	261647900
209100	88724670
416150	16541320
693646	862121
6630	436206000
72541	260204000
209100	88622700
416150	16351580
693646	941489
6630	438148500
72541	261624100
209100	88699660
416150	16514170
693646	860103
6630	438507500
72541	261414000
209100	89112580
416150	16644070
693646	894927
6630	436901900
72541	261650000
209100	88827940
416150	16686610
693646	708665
6630	437417100
72541	261598300
209100	88949840
416150	16618180
693646	833440
6630	438602000
72541	260714900
209100	88853830
416150	16641000
693646	810700
6630	434398900
72541	261650000
209100	88874500
416150	16586300
693646	899041
6630	437455900
72541	261330300
209100	89000760
416150	16616950
693646	768376
6630	437220000
72541	261582700
209100	89191350
416150	16724230
693646	920530
6630	437433700
72541	261531800
209100	89463060
416150	16712310
693646	619129
6630	437804300
72541	261345100
209100	89557430
416150	16802990
693646	787264
6630	435856000
72541	261400900
209100	89260190
416150	16593140
693646	692920
6630	435616500
72541	261501500
209100	89321250
416150	16581240
693646	676930
6630	436957100
72541	260803800
209100	89256230
416150	16592710
693646	679567
6630	437288300
72541	260694300
209100	89358700
416150	16700920
693646	638596
6630	435563200
72541	261464000
209100	89382130
416150	16589260
693646	569421
6630	436436400
72541	261286600
209100	89486050
416150	16560180
693646	528595
6630	436958300
72541	260227800
209100	89370760
416150	16496730
693646	622966
6630	435613600
72541	260464200
209100	89312980
416150	16479010
693646	471268
6630	433998900
72541	260407700
209100	89196220
416150	16429410
693646	536959
6630	435640800
72541	260908200
209100	89069070
416150	16491530
693646	353875
6630	436451300
72541	259941200
209100	89266740
416150	16371540
693646	430076
6630	435694800
72541	260818000
209100	89341980
416150	16439470
693646	263234
6630	435572900
72541	260813200
209100	89262130
416150	16281510
693646	285767
6630	436009300
72541	260701400
209100	89734560
416150	16385610
693646	414296
6630	434808800
72541	260498300
209100	89318550
416150	16390390
693646	405918
6630	434223200
72541	260311600
209100	89423040
416150	16318340
693646	317806
6630	434190100
72541	260418100
209100	89193820
416150	16449820
693646	328611
6630	434221500
72541	259925400
209100	89365080
416150	16445910
693646	336913
6630	434418800
72541	260055600
209100	89513290
416150	16473310
693646	214244
6630	434712900
72541	261058000
209100	89711700
416150	16572520
693646	354911
6630	434824200
72541	260724800
209100	89789700
416150	16646620
693646	304722
6630	434311700
72541	260341600
209100	89479310
416150	16396020
693646	250508
6630	431633400
72541	258890700
209100	88914600
416150	16239740
693646	207415
6630	428530000
72541	257019400
209100	88291250
416150	16004300
693646	194270
6630	426494400
72541	255415000
209100	87804210
416150	15935010
693646	42722
6630	423530000
72541	254030700
209100	87275780
416150	15787650
693646	31490
6630	421400400
72541	252553200
209100	86798470
416150	15703350
693646	59188
6630	418513000
72541	251107300
209100	86265140
416150	15560580
693646	57604
6630	415781800
72541	250273000
209100	85747920
416150	15602930
693646	26581
6630	414186000
72541	248276500
209100	85421660
416150	15425780
693646	16553
6630	412272200
72541	246847500
209100	84913660
416150	15393560
693646	3631
6630	410676300
72541	246524100
209100	84513320
416150	15231450
693646	64986
6630	408750300
72541	245485200
209100	84166530
416150	15129210
693646	41471
6630	408070900
72541	244733200
209100	83757040
416150	15083110
693646	57558
6630	406505600
72541	243737800
209100	83602820
416150	15107860
693646	2880
6630	404987400
72541	242969000
209100	83298400
416150	15056040
693646	50359
6630	404700200
72541	242582200
209100	83176860
416150	15058400
693646	157293
6630	403985200
72541	242083000
209100	83263680
416150	15108640
693646	224528
6630	403999500
72541	241635900
209100	82827530
416150	15109460
693646	227714
6630	403424300
72541	240959200
209100	82597230
416150	15044280
693646	336534
6630	402014100
72541	241342500
209100	82374940
416150	15019550
693646	385404
6630	401873300
72541	240523200
209100	82201790
416150	15068730
693646	398684
6630	402463200
72541	240498600
209100	82450840
416150	15095460
693646	384224
6630	402082800
72541	240016300
209100	81920350
416150	15075910
693646	470716
6630	400465400
72541	239178300
209100	81723010
416150	15012220
693646	511048
6630	400879400
72541	239255400
209100	81721600
416150	15137850
693646	535358
6630	400805200
72541	239154400
209100	81805760
416150	15106110
693646	657992
6630	400366000
72541	238904500
209100	81435050
416150	15148430
693646	690057
6630	399509900
72541	238231500
209100	81286730
416150	15081040
693646	653667
6630	399852600
72541	238369400
209100	81227810
416150	15126680
693646	781250
6630	398877400
72541	237561900
209100	80741200
416150	14963020
693646	772601
6630	397999900
72541	236854300
209100	80570640
416150	14898210
693646	700418
6630	399973300
72541	238506600
209100	81235980
416150	15235450
693646	897579
6630	404279200
72541	241187600
209100	81852340
416150	15239110
693646	950736
6630	408351400
72541	243725400
209100	82547580
416150	15481270
693646	1010039
6630	414402100
72541	245928200
209100	83724300
416150	15932430
693646	1052164
6630	417380100
72541	248569200
209100	84468280
416150	15954500
693646	1259828
6630	422173800
72541	250452800
209100	85341860
416150	16129260
693646	1190595
6630	426354500
72541	253626900
209100	86041790
416150	16364260
693646	1391358
6630	429858300
72541	255731600
209100	86655790
416150	16573950
693646	1436202
6630	431900300
72541	256724100
209100	87053200
416150	16758090
693646	1284803
6630	434845400
72541	258277700
209100	87196660
416150	16782330
693646	1437063
6630	436592300
72541	258842300
209100	87482750
416150	16722350
693646	1372110
6630	435732800
72541	259266100
209100	87560930
416150	16762950
693646	1345367
6630	438301300
72541	259317100
209100	87687700
416150	16827540
693646	1306346
6630	437795200
72541	259132300
209100	88233580
416150	16840540
693646	1425765
6630	441936000
72541	260645200
209100	88307380
416150	16672810
693646	1378980
6630	440240400
72541	260477400
209100	88134400
416150	16833150
693646	1299470
6630	440437100
72541	260951800
209100	88365200
416150	16833880
693646	1408851
6630	441808000
72541	261380500
209100	88469660
416150	16736110
693646	1301939
6630	443443400
72541	261539400
209100	88668750
416150	16661980
693646	1191457
6630	441447200
72541	261088200
209100	88209620
416150	16633740
693646	1239679
6630	441425300
72541	261281800
209100	88798610
416150	16495430
693646	1206488
6630	439942900
72541	261689600
209100	88507920
416150	16702560
693646	1070155
6630	440792300
72541	261726300
209100	88376560
416150	16482500
693646	1176315
6630	440056900
72541	261326100
209100	88145570
416150	16616770
693646	1157860
6630	440245900
72541	260678200
209100	88146260
416150	16481190
693646	1007686
6630	439594500
72541	261118400
209100	88511850
416150	16408090
693646	1005910
6630	439199000
72541	261153000
209100	88405110
416150	16496920
693646	873694
6630	438494800
72541	261364500
209100	88484060
416150	16411300
693646	991677
6630	441460600
72541	260503100
209100	88890070
416150	16532700
693646	1003190
6630	439874100
72541	260789600
209100	88399700
416150	16422450
693646	973650
6630	439970400
72541	260787200
209100	88478930
416150	16354730
693646	929417
6630	437969400
72541	260761100
209100	88463460
416150	16438390
693646	791870
6630	439199800
72541	260804500
209100	88617620
416150	16517760
693646	858870
6630	437183300
72541	260337100
209100	88726000
416150	16430890
693646	917785
6630	438890700
72541	261118200
209100	88768000
416150	16543620
693646	831380
6630	438612600
72541	261060800
209100	89050500
416150	16392050
693646	904573
6630	439018900
72541	262125100
209100	88852130
416150	16499060
693646	861825
6630	437890000
72541	261180400
209100	88733970
416150	16542670
693646	798542
6630	437403900
72541	262798500
209100	88564990
416150	16440380
693646	843282
6630	436317600
72541	260196700
209100	88429300
416150	16680270
693646	761066
6630	436651500
72541	260181900
209100	88858860
416150	16653070
693646	672160
6630	437270700
72541	260932500
209100	88933920
416150	16638350
693646	847148
6630	436699200
72541	260294000
209100	89004590
416150	16685420
693646	757437
6630	437559200
72541	259253900
209100	89213690
416150	16546080
693646	812232
6630	438200400
72541	260101000
209100	88963690
416150	16679980
693646	710371
6630	437432800
72541	259851600
209100	88879540
416150	16521950
693646	686616
6630	435432200
72541	260870600
209100	88803340
416150	16681920
693646	703933
6630	434672500
72541	259042600
209100	88408390
416150	16598540
693646	759282
6630	437649500
72541	260057400
209100	89027540
416150	16582250
693646	564025
6630	435237700
72541	260048100
209100	88889890
416150	16649480
693646	715920
6630	433104700
72541	260114800
209100	89057520
416150	16494400
693646	628864
6630	436252700
72541	259494300
209100	89042480
416150	16459110
693646	701067
6630	436096600
72541	258428800
209100	89021000
416150	16368440
693646	665536
6630	433502500
72541	259581000
209100	89000960
416150	16527290
693646	610723
6630	434136600
72541	259054800
209100	88954450
416150	16463420
693646	529701
6630	434364700
72541	259619500
209100	88925080
416150	16548730
693646	478670
6630	434222000
72541	259960400
209100	89161060
416150	16413600
693646	449191
6630	433210600
72541	259137300
209100	88900850
416150	16386130
693646	536192
6630	433988700
72541	259551600
209100	89225190
416150	16484940
693646	449386
6630	434234100
72541	259770400
209100	89017940
416150	16502020
693646	452065
6630	434475500
72541	259660400
209100	88926900
416150	16518520
693646	344969
6630	434648400
72541	259586800
209100	89400980
416150	16438910
693646	455237
6630	433833100
72541	259603700
209100	89097150
416150	16465110
693646	503342
6630	433649900
72541	260092000
209100	89124060
416150	16282160
693646	430812
6630	434438300
72541	259044900
209100	88600080
416150	16487600
693646	433664
6630	432692000
72541	258441100
209100	88576470
416150	16383470
693646	450321
6630	432714200
72541	259418400
209100	89034760
416150	16358070
693646	428724
6630	432488600
72541	259781300
209100	88989200
416150	16492630
693646	320562
6630	432718100
72541	260160800
209100	89101560
416150	16443060
693646	270146
6630	433394900
72541	259630700
209100	89007180
416150	16398490
693646	263738
6630	432415100
72541	260002800
209100	89240480
416150	16505930
693646	366603
6630	432048900
72541	258931900
209100	89169680
416150	16332040
693646	327917
6630	432849100
72541	260173300
209100	89217780
416150	16521100
693646	366551
6630	431675900
72541	259669400
